,user,date,text,hashtags,is_retweet,favourites,retweets
29,_100DaysOfCode,Tue Mar 16 14:46:31 +0000 2021,"JavaScript: Understanding the Weird Parts - Free Discount -&gt; https://t.co/OQWvaAAomV

#udemy #coupons #webdevelopment…",udemy coupons webdevelopment,True,0,38
30,indienewsaoba,Tue Mar 16 14:46:31 +0000 2021,"This is ⚫ Black Panther face!

#animal #wildlife #photography #BlackPanther #fotografia #flutter #python #metroidvania #…",animal wildlife photography BlackPanther fotografia flutter python metroidvania,True,0,15
31,CoderRetweet,Tue Mar 16 14:46:27 +0000 2021,"JavaScript: Understanding the Weird Parts - Free Discount -&gt; https://t.co/OQWvaAAomV

#udemy #coupons #webdevelopment…",udemy coupons webdevelopment,True,0,38
32,EliteDaMyth,Tue Mar 16 14:46:24 +0000 2021,How To Deploy ML Models on #AWS. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats…,AWS BigData Analytics DataScience AI MachineLearning IoT IIoT PyTorch Python RStats,True,0,16
33,TopGrade_s,Tue Mar 16 14:46:23 +0000 2021,"Hire me help you get A's in your essays.
pay someone write
#Physics
#essayhelp
#English
#essaypay
#Maths
#Essaydue… https://t.co/BZawtX3jYQ",Physics essayhelp English essaypay Maths Essaydue,False,0,0
34,Maignanamurthy,Tue Mar 16 14:46:21 +0000 2021,How To Deploy ML Models on #AWS. #BigData #Analytics #DataScience #AI #MachineLearning #IoT #IIoT #PyTorch #Python #RStats…,AWS BigData Analytics DataScience AI MachineLearning IoT IIoT PyTorch Python RStats,True,0,16
35,datasciencebot_,Tue Mar 16 14:46:19 +0000 2021,"Telling a Great Data Story: A Visualization Decision Tree! 😊

https://t.co/eWLUcvy59t @AI_Miami

#100DaysOfCode #AI #Analytic…",100DaysOfCode AI,True,0,11
36,friday_Js_bot,Tue Mar 16 14:46:10 +0000 2021,"🇺🇸Proud to Offer🇺🇸
⭐️https://t.co/w10JBcrsdl⭐️
#SiliconValley #5G #AI 
@mvollmer1 @PawlowskiMario 
@MargaretSiegien @Pawlow…",SiliconValley 5G AI,True,0,4
37,fluttbot,Tue Mar 16 14:46:10 +0000 2021,"🇺🇸Proud to Offer🇺🇸
⭐️https://t.co/w10JBcrsdl⭐️
#SiliconValley #5G #AI 
@mvollmer1 @PawlowskiMario 
@MargaretSiegien @Pawlow…",SiliconValley 5G AI,True,0,4
38,ServerlessFan,Tue Mar 16 14:46:10 +0000 2021,"🇺🇸Proud to Offer🇺🇸
⭐️https://t.co/w10JBcrsdl⭐️
#SiliconValley #5G #AI 
@mvollmer1 @PawlowskiMario 
@MargaretSiegien @Pawlow…",SiliconValley 5G AI,True,0,4
39,friday_Js_bot,Tue Mar 16 14:46:05 +0000 2021,"Our rates are affordable always:--

Dissertation
onlineclass
summer classes 
Essay
#Paper pay 
Case study
python..
#Do my ho…",Paper Do,True,0,2
40,Exchange5g,Tue Mar 16 14:46:05 +0000 2021,"🇺🇸Proud to Offer🇺🇸
⭐️https://t.co/w10JBcrsdl⭐️
#SiliconValley #5G #AI 
@mvollmer1 @PawlowskiMario 
@MargaretSiegien… https://t.co/rvngKxn2UH",SiliconValley 5G AI,False,1,4
41,blackstembot,Tue Mar 16 14:46:03 +0000 2021,"Heimdallr only 23KB.
https://t.co/6xSKOG32Xm
.
#github #python #coding #javascript #programming #DeveloperJobs #code #programme…",github python coding javascript programming DeveloperJobs code,True,0,27
42,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"This Indian Startup Uses Artificial Intelligence to Facilitate Radiology Imaging - MarkTechPost

Read more here: https:…",,True,0,47
43,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,@svpino @datasciencegem I like this approach but still prefer using Conda to using pip to install and mange software sta…,,True,0,2
44,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,Data Science vs. Data Analytics vs. Machine Learning: Expert Talk #BigData #DataScience #MachineLearning #Python #R #Superv…,BigData DataScience MachineLearning Python R,True,0,3
45,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"Deep Driving with Direct perception based Approach ▶️
#Analytics #MachineLearning #AI #Python #Rstats #Reactjs #IoT #IIo…",Analytics MachineLearning AI Python Rstats Reactjs IoT,True,0,144
46,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"Hire me help you get A's in your essays.
pay someone write
#Physics
#essayhelp
#English
#essaypay
#Maths
#Essaydue
#Chem
#as…",Physics essayhelp English essaypay Maths Essaydue Chem,True,0,3
47,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"#FEATURED #COURSES

Machine Learning A-Z�: Hands-On Python &amp; R In Data Science

Learn to create Machine Learning Algorithms in…",FEATURED COURSES,True,0,11
48,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"#udemy #udemyfree #udemyfreecoupons #udemy10 #udemydiscount #bestblackhat
Free Complete #Python #Bootcamp | Deep Learning Int…",udemy udemyfree udemyfreecoupons udemy10 udemydiscount bestblackhat Python Bootcamp,True,0,8
49,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"Full Stack Developer (Node.js) - LDI-MAP, LLC dba IJOIN https://t.co/wisXOROQbb #relevantjobs #job #jobs #hiring  #nodej…",relevantjobs job jobs hiring,True,0,7
50,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"HCL Verse helps you spend more time managing priorities!
#hclswlobp #nocode #lowcode #javascript #github #nodejs #cybers…",hclswlobp nocode lowcode javascript github nodejs,True,0,19
51,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #Cloud…,ArtificialIntelligence 100DaysOfCode programming blockchain,True,0,34
52,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,Sample image generated from random point in latent space. #machinelearning #urban #dreamscape #dystopic #cityscape #imaginar…,machinelearning urban dreamscape dystopic cityscape,True,0,11
53,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,#SoftwareEngineering Best Practices for #DataScientists | #BigData #Analytics #DataScience #IIoT #PyTorch #Python #RStats #Te…,SoftwareEngineering DataScientists BigData Analytics DataScience IIoT PyTorch Python RStats,True,0,21
54,Fabriciosx,Tue Mar 16 14:46:00 +0000 2021,"Hire me help you get A's in your essays.
pay someone write
#Physics
#essayhelp
#English
#Maths
#Essaydue
#Chem
#assignment d…",Physics essayhelp English Maths Essaydue Chem assignment,True,0,4
55,JamietalC,Tue Mar 16 14:46:00 +0000 2021,"Our rates are affordable always:--

Dissertation
onlineclass
summer classes 
Essay
#Paper pay 
Case study
python..… https://t.co/ZIHyKuHokQ",Paper,False,1,2
56,ML_Tweet_Bot,Tue Mar 16 14:45:55 +0000 2021,Data Science vs. Data Analytics vs. Machine Learning: Expert Talk #BigData #DataScience #MachineLearning #Python #R #Superv…,BigData DataScience MachineLearning Python R,True,0,3
57,xaelbot,Tue Mar 16 14:45:54 +0000 2021,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #Cloud…,ArtificialIntelligence 100DaysOfCode programming blockchain,True,0,34
58,MasterofIoT,Tue Mar 16 14:45:52 +0000 2021,Fundamentals of Machine Learning ($19.99 to Free) #ArtificialIntelligence #100DaysOfCode #programming #blockchain #Cloud…,ArtificialIntelligence 100DaysOfCode programming blockchain,True,0,34
59,fatihguvenen,Tue Mar 16 14:45:51 +0000 2021,"@ben_moll @Simon_Mongey Ben, we are going to be posting a Python (and possibly Julia) wrapper in the coming months.… https://t.co/TZDnaMZOUP",,False,0,0
60,ai_summary,Tue Mar 16 14:45:50 +0000 2021,Data Science vs. Data Analytics vs. Machine Learning: Expert Talk #BigData #DataScience #MachineLearning #Python #R… https://t.co/ppGLZv6YOZ,BigData DataScience MachineLearning Python R,False,1,3
61,friday_Js_bot,Tue Mar 16 14:45:46 +0000 2021,"Hi Do you need  any  logo Design visit my Link..https://t.co/eEn0aSgc9S
#AI #DataScientist #DataScience #CloudComputing…",AI DataScientist DataScience CloudComputing,True,0,41
62,coder_487,Tue Mar 16 14:45:46 +0000 2021,Sample image generated from random point in latent space. #machinelearning #urban #dreamscape #dystopic #cityscape #imaginar…,machinelearning urban dreamscape dystopic cityscape,True,0,11
63,friday_Js_bot,Tue Mar 16 14:45:44 +0000 2021,"Deep Driving with Direct perception based Approach ▶️
#Analytics #MachineLearning #AI #Python #Rstats #Reactjs #IoT #IIo…",Analytics MachineLearning AI Python Rstats Reactjs IoT,True,0,144
64,cybersec_feeds,Tue Mar 16 14:45:41 +0000 2021,"Hi Do you need  any  logo Design visit my Link..https://t.co/eEn0aSgc9S
#AI #DataScientist #DataScience #CloudComputing…",AI DataScientist DataScience CloudComputing,True,0,41
65,friday_Js_bot,Tue Mar 16 14:45:35 +0000 2021,"Full Stack Developer (Node.js) - LDI-MAP, LLC dba IJOIN https://t.co/wisXOROQbb #relevantjobs #job #jobs #hiring  #nodej…",relevantjobs job jobs hiring,True,0,7
66,friday_Js_bot,Tue Mar 16 14:45:35 +0000 2021,"Full Stack Developer (Node.js) - LDI-MAP, LLC dba IJOIN https://t.co/wisXOROQbb #relevantjobs #job #jobs #hiring  #nodej…",relevantjobs job jobs hiring,True,0,7
67,coder_487,Tue Mar 16 14:45:30 +0000 2021,"Full Stack Developer (Node.js) - LDI-MAP, LLC dba IJOIN https://t.co/wisXOROQbb #relevantjobs #job #jobs #hiring  #nodej…",relevantjobs job jobs hiring,True,0,7
68,coder_487,Tue Mar 16 14:45:30 +0000 2021,"Full Stack Developer (Node.js) - LDI-MAP, LLC dba IJOIN https://t.co/wisXOROQbb #relevantjobs #job #jobs #hiring  #nodej…",relevantjobs job jobs hiring,True,0,7
