date,areaType,areaCode,areaName,cumCasesBySpecimenDate,cumDeathsByDeathDate,newCasesBySpecimenDate,newDeathsByDeathDate,newCasesBySpecimenDateRollingRate
05/08/2020,region,E12000005,West Midlands,27710,5244,94,5,9
04/08/2020,region,E12000005,West Midlands,27616,5239,98,5,9
03/08/2020,region,E12000005,West Midlands,27518,5234,88,2,8.8
02/08/2020,region,E12000005,West Midlands,27430,5232,42,5,8.6
01/08/2020,region,E12000005,West Midlands,27388,5227,54,0,9
31/07/2020,region,E12000005,West Midlands,27334,5227,81,4,9.3
30/07/2020,region,E12000005,West Midlands,27253,5223,80,7,9.2
29/07/2020,region,E12000005,West Midlands,27173,5216,90,8,9.4
28/07/2020,region,E12000005,West Midlands,27083,5208,89,4,9.2
27/07/2020,region,E12000005,West Midlands,26994,5204,77,12,9
26/07/2020,region,E12000005,West Midlands,26917,5192,66,12,9.1
25/07/2020,region,E12000005,West Midlands,26851,5180,67,9,8.7
24/07/2020,region,E12000005,West Midlands,26784,5171,79,1,8.4
23/07/2020,region,E12000005,West Midlands,26705,5170,89,7,8.2
22/07/2020,region,E12000005,West Midlands,26616,5163,78,12,7.8
21/07/2020,region,E12000005,West Midlands,26538,5151,80,8,8.3
